id,collection,datetime,title,country_codes,hazard_codes,impact_category,impact_type,impact_value,impact_unit,standardized_value,estimate_type,description
emdat-impact-2020-0569-NOR-total_deaths,emdat-impacts,2020-12-30T00:00:00Z,Landslide (wet) in Norway - total_deaths,NOR,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0572-HRV-total_deaths,emdat-impacts,2020-12-29T00:00:00Z,Ground movement in Croatia - total_deaths,HRV,nat-geo-ear-gro,people,death,8.0,count,,primary,
emdat-impact-2020-0571-PNG-total_deaths,emdat-impacts,2020-12-29T00:00:00Z,Landslide (wet) in Papua New Guinea - total_deaths,PNG,nat-hyd-mmw-lan,people,death,13.0,count,,primary,
emdat-impact-2020-0574-IRN-total_deaths,emdat-impacts,2020-12-25T00:00:00Z,Avalanche (wet) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-mmw-ava,people,death,12.0,count,,primary,
emdat-impact-2020-0604-ZMB-total_deaths,emdat-impacts,2020-12-22T00:00:00Z,Flood (General) in Zambia - total_deaths,ZMB,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0568-PHL-total_deaths,emdat-impacts,2020-12-21T00:00:00Z,Landslide (wet) in Philippines - total_deaths,PHL,nat-hyd-mmw-lan,people,death,10.0,count,,primary,
emdat-impact-2020-0558-VNM-total_deaths,emdat-impacts,2020-12-21T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of December 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0558-PHL-total_deaths,emdat-impacts,2020-12-18T00:00:00Z,Storm (Tropical cyclone) in Philippines of December 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,9.0,count,,primary,
emdat-impact-2020-0560-BRA-total_deaths,emdat-impacts,2020-12-17T00:00:00Z,Flood (General) in Brazil - total_deaths,BRA,nat-hyd-flo-flo,people,death,21.0,count,,primary,
emdat-impact-2020-0554-FJI-total_deaths,emdat-impacts,2020-12-17T00:00:00Z,Storm (Tropical cyclone) in Fiji of December 2020 - total_deaths,FJI,nat-met-sto-tro,people,death,5.0,count,,primary,
emdat-impact-2020-0561-THA-total_deaths,emdat-impacts,2020-12-16T00:00:00Z,Flood (General) in Thailand - total_deaths,THA,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0555-JPN-total_deaths,emdat-impacts,2020-12-16T00:00:00Z,Blizzard/Winter storm in Japan - total_deaths,JPN,nat-met-sto-bli,people,death,21.0,count,,primary,
emdat-impact-2020-0544-IDN-total_deaths,emdat-impacts,2020-12-06T00:00:00Z,Riverine flood in Indonesia - total_deaths,IDN,nat-hyd-flo-riv,people,death,2.0,count,,primary,
emdat-impact-2020-0533-ITA-total_deaths,emdat-impacts,2020-12-04T00:00:00Z,Flood (General) in Italy - total_deaths,ITA,nat-hyd-flo-flo,people,death,2.0,count,,primary,
emdat-impact-2020-0548-LKA-total_deaths,emdat-impacts,2020-12-02T00:00:00Z,Flood (General) in Sri Lanka - total_deaths,LKA,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0532-IDN-total_deaths,emdat-impacts,2020-12-02T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,5.0,count,,primary,
emdat-impact-2020-0531-COD-total_deaths,emdat-impacts,2020-12-02T00:00:00Z,Flood (General) in Democratic Republic of the Congo - total_deaths,COD,nat-hyd-flo-flo,people,death,18.0,count,,primary,
emdat-impact-2020-0521-ITA-total_deaths,emdat-impacts,2020-11-27T00:00:00Z,Flash flood in Italy - total_deaths,ITA,nat-hyd-flo-fla,people,death,3.0,count,,primary,
emdat-impact-2020-0529-THA-total_deaths,emdat-impacts,2020-11-25T00:00:00Z,Flash flood in Thailand - total_deaths,THA,nat-hyd-flo-fla,people,death,29.0,count,,primary,
emdat-impact-2020-0524-IND-total_deaths,emdat-impacts,2020-11-25T00:00:00Z,Storm (Tropical cyclone) in India of November 2020 - total_deaths,IND,nat-met-sto-tro,people,death,14.0,count,,primary,
emdat-impact-2020-0535-IRN-total_deaths,emdat-impacts,2020-11-24T00:00:00Z,Flood (General) in Iran (Islamic Republic of) - total_deaths,IRN,nat-hyd-flo-flo,people,death,7.0,count,,primary,
emdat-impact-2020-0488-COL-total_deaths,emdat-impacts,2020-11-23T00:00:00Z,Landslide (wet) in Colombia - total_deaths,COL,nat-hyd-mmw-lan,people,death,18.0,count,,primary,
emdat-impact-2020-0487-SOM-total_deaths,emdat-impacts,2020-11-22T00:00:00Z,Storm (Tropical cyclone) in Somalia of November 2020 - total_deaths,SOM,nat-met-sto-tro,people,death,9.0,count,,primary,
emdat-impact-2020-0522-UGA-total_deaths,emdat-impacts,2020-11-21T00:00:00Z,Flood (General) in Uganda - total_deaths,UGA,nat-hyd-flo-flo,people,death,7.0,count,,primary,
emdat-impact-2020-0495-SLV-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Storm (Tropical cyclone) in El Salvador of November 2020 - total_deaths,SLV,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0495-PAN-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Storm (Tropical cyclone) in Panama of November 2020 - total_deaths,PAN,nat-met-sto-tro,people,death,4.0,count,,primary,
emdat-impact-2020-0495-NIC-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Storm (Tropical cyclone) in Nicaragua of November 2020 - total_deaths,NIC,nat-met-sto-tro,people,death,18.0,count,,primary,
emdat-impact-2020-0495-HND-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Storm (Tropical cyclone) in Honduras of November 2020 - total_deaths,HND,nat-met-sto-tro,people,death,14.0,count,,primary,
emdat-impact-2020-0495-GTM-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Storm (Tropical cyclone) in Guatemala of November 2020 - total_deaths,GTM,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0489-ZAF-total_deaths,emdat-impacts,2020-11-17T00:00:00Z,Severe weather in South Africa - total_deaths,ZAF,nat-met-sto-sev,people,death,10.0,count,,primary,
emdat-impact-2020-0495-COL-total_deaths,emdat-impacts,2020-11-14T00:00:00Z,Storm (Tropical cyclone) in Colombia of November 2020 - total_deaths,COL,nat-met-sto-tro,people,death,23.0,count,,primary,
emdat-impact-2020-0501-PHL-total_deaths,emdat-impacts,2020-11-11T00:00:00Z,Storm (Tropical cyclone) in Philippines of November 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,111.0,count,,primary,
emdat-impact-2020-0496-CHN-total_deaths,emdat-impacts,2020-11-11T00:00:00Z,Flood (General) in China - total_deaths,CHN,nat-hyd-flo-flo,people,death,13.0,count,,primary,
emdat-impact-2020-0542-VNM-total_deaths,emdat-impacts,2020-11-10T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of November 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0538-USA-total_deaths,emdat-impacts,2020-11-10T00:00:00Z,Lightning/Thunderstorms in United States of America - total_deaths,USA,nat-met-sto-lig,people,death,11.0,count,,primary,
emdat-impact-2020-0506-MEX-total_deaths,emdat-impacts,2020-11-09T00:00:00Z,Flood (General) in Mexico - total_deaths,MEX,nat-hyd-flo-flo,people,death,27.0,count,,primary,
emdat-impact-2020-0498-VEN-total_deaths,emdat-impacts,2020-11-08T00:00:00Z,Flood (General) in Venezuela (Bolivarian Republic of) - total_deaths,VEN,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0474-USA-total_deaths,emdat-impacts,2020-11-08T00:00:00Z,Storm (Tropical cyclone) in United States of America of November 2020 - total_deaths,USA,nat-met-sto-tro,people,death,12.0,count,,primary,
emdat-impact-2020-0474-PAN-total_deaths,emdat-impacts,2020-11-03T00:00:00Z,Storm (Tropical cyclone) in Panama of November 2020 - total_deaths,PAN,nat-met-sto-tro,people,death,79.0,count,,primary,
emdat-impact-2020-0474-NIC-total_deaths,emdat-impacts,2020-11-03T00:00:00Z,Storm (Tropical cyclone) in Nicaragua of November 2020 - total_deaths,NIC,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0474-HND-total_deaths,emdat-impacts,2020-11-03T00:00:00Z,Storm (Tropical cyclone) in Honduras of November 2020 - total_deaths,HND,nat-met-sto-tro,people,death,110.0,count,,primary,
emdat-impact-2020-0474-GTM-total_deaths,emdat-impacts,2020-11-03T00:00:00Z,Storm (Tropical cyclone) in Guatemala of November 2020 - total_deaths,GTM,nat-met-sto-tro,people,death,160.0,count,,primary,
emdat-impact-2020-0474-MEX-total_deaths,emdat-impacts,2020-11-02T00:00:00Z,Storm (Tropical cyclone) in Mexico of November 2020 - total_deaths,MEX,nat-met-sto-tro,people,death,31.0,count,,primary,
emdat-impact-2020-0463-PHL-total_deaths,emdat-impacts,2020-10-31T00:00:00Z,Storm (Tropical cyclone) in Philippines of October 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,31.0,count,,primary,
emdat-impact-2020-0466-TUR-total_deaths,emdat-impacts,2020-10-30T00:00:00Z,Ground movement in Türkiye - total_deaths,TUR,nat-geo-ear-gro,people,death,115.0,count,,primary,
emdat-impact-2020-0466-GRC-total_deaths,emdat-impacts,2020-10-30T00:00:00Z,Ground movement in Greece - total_deaths,GRC,nat-geo-ear-gro,people,death,2.0,count,,primary,
emdat-impact-2020-0470-VNM-total_deaths,emdat-impacts,2020-10-29T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of October 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,41.0,count,,primary,
emdat-impact-2020-0464-SLV-total_deaths,emdat-impacts,2020-10-29T00:00:00Z,Mudslide in El Salvador - total_deaths,SLV,nat-hyd-mmw-mud,people,death,42.0,count,,primary,
emdat-impact-2020-0470-PHL-total_deaths,emdat-impacts,2020-10-28T00:00:00Z,Storm (Tropical cyclone) in Philippines of October 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,31.0,count,,primary,
emdat-impact-2020-0483-USA-total_deaths,emdat-impacts,2020-10-24T00:00:00Z,Storm (Tropical cyclone) in United States of America of October 2020 - total_deaths,USA,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0486-IDN-total_deaths,emdat-impacts,2020-10-21T00:00:00Z,Flood (General) in Indonesia - total_deaths,IDN,nat-hyd-flo-flo,people,death,15.0,count,,primary,
emdat-impact-2020-0457-PAK-total_deaths,emdat-impacts,2020-10-18T00:00:00Z,Landslide (wet) in Pakistan - total_deaths,PAK,nat-hyd-mmw-lan,people,death,16.0,count,,primary,
emdat-impact-2020-0458-TZA-total_deaths,emdat-impacts,2020-10-13T00:00:00Z,Flash flood in United Republic of Tanzania - total_deaths,TZA,nat-hyd-flo-fla,people,death,12.0,count,,primary,
emdat-impact-2020-0454-SVK-total_deaths,emdat-impacts,2020-10-13T00:00:00Z,Flood (General) in Slovakia - total_deaths,SVK,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0452-PHL-total_deaths,emdat-impacts,2020-10-13T00:00:00Z,Storm (Tropical cyclone) in Philippines of October 2020 - total_deaths,PHL,nat-met-sto-tro,people,death,3.0,count,,primary,
emdat-impact-2020-0425-VNM-total_deaths,emdat-impacts,2020-10-13T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of October 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0425-CHN-total_deaths,emdat-impacts,2020-10-13T00:00:00Z,Storm (Tropical cyclone) in China of October 2020 - total_deaths,CHN,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0411-THA-total_deaths,emdat-impacts,2020-10-09T00:00:00Z,Storm (Tropical cyclone) in Thailand of October 2020 - total_deaths,THA,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0412-USA-total_deaths,emdat-impacts,2020-10-07T00:00:00Z,Storm (Tropical cyclone) in United States of America of October 2020 - total_deaths,USA,nat-met-sto-tro,people,death,4.0,count,,primary,
emdat-impact-2020-0411-VNM-total_deaths,emdat-impacts,2020-10-06T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of October 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,243.0,count,,primary,
emdat-impact-2020-0411-LAO-total_deaths,emdat-impacts,2020-10-06T00:00:00Z,Storm (Tropical cyclone) in Lao People's Democratic Republic of October 2020 - total_deaths,LAO,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0418-ITA-total_deaths,emdat-impacts,2020-10-02T00:00:00Z,Storm (Storm (General)) in Italy of October 2020 - total_deaths,ITA,nat-met-sto-sto,people,death,7.0,count,,primary,
emdat-impact-2020-0418-FRA-total_deaths,emdat-impacts,2020-10-02T00:00:00Z,Storm (Storm (General)) in France of October 2020 - total_deaths,FRA,nat-met-sto-sto,people,death,18.0,count,,primary,
emdat-impact-2020-0416-MEX-total_deaths,emdat-impacts,2020-10-02T00:00:00Z,Storm (Tropical cyclone) in Mexico of October 2020 - total_deaths,MEX,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0484-MOZ-total_deaths,emdat-impacts,2020-10-01T00:00:00Z,Flood (General) in Mozambique - total_deaths,MOZ,nat-hyd-flo-flo,people,death,22.0,count,,primary,
emdat-impact-2020-0446-IND-total_deaths,emdat-impacts,2020-10-01T00:00:00Z,Flood (General) in India - total_deaths,IND,nat-hyd-flo-flo,people,death,152.0,count,,primary,
emdat-impact-2020-0421-BEN-total_deaths,emdat-impacts,2020-10-01T00:00:00Z,Riverine flood in Benin - total_deaths,BEN,nat-hyd-flo-riv,people,death,6.0,count,,primary,
emdat-impact-2020-0419-COD-total_deaths,emdat-impacts,2020-10-01T00:00:00Z,Riverine flood in Democratic Republic of the Congo - total_deaths,COD,nat-hyd-flo-riv,people,death,13.0,count,,primary,
emdat-impact-2020-0411-KHM-total_deaths,emdat-impacts,2020-10-01T00:00:00Z,Storm (Tropical cyclone) in Cambodia of October 2020 - total_deaths,KHM,nat-met-sto-tro,people,death,44.0,count,,primary,
emdat-impact-2020-0349-UKR-total_deaths,emdat-impacts,2020-09-30T00:00:00Z,Forest fire in Ukraine - total_deaths,UKR,nat-cli-wil-for,people,death,11.0,count,,primary,
emdat-impact-2020-0429-IDN-total_deaths,emdat-impacts,2020-09-28T00:00:00Z,Landslide (wet) in Indonesia - total_deaths,IDN,nat-hyd-mmw-lan,people,death,11.0,count,,primary,
emdat-impact-2020-0462-VNM-total_deaths,emdat-impacts,2020-09-18T00:00:00Z,Storm (Tropical cyclone) in Viet Nam of September 2020 - total_deaths,VNM,nat-met-sto-tro,people,death,6.0,count,,primary,
emdat-impact-2020-0462-THA-total_deaths,emdat-impacts,2020-09-18T00:00:00Z,Storm (Tropical cyclone) in Thailand of September 2020 - total_deaths,THA,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0459-FRA-total_deaths,emdat-impacts,2020-09-18T00:00:00Z,Flash flood in France - total_deaths,FRA,nat-hyd-flo-fla,people,death,2.0,count,,primary,
emdat-impact-2020-0606-CPV-total_deaths,emdat-impacts,2020-09-11T00:00:00Z,Flood (General) in Cabo Verde - total_deaths,CPV,nat-hyd-flo-flo,people,death,1.0,count,,primary,
emdat-impact-2020-0438-USA-total_deaths,emdat-impacts,2020-09-11T00:00:00Z,Storm (Tropical cyclone) in United States of America of September 2020 - total_deaths,USA,nat-met-sto-tro,people,death,8.0,count,,primary,
emdat-impact-2020-0400-JPN-total_deaths,emdat-impacts,2020-09-07T00:00:00Z,Storm (Tropical cyclone) in Japan of September 2020 - total_deaths,JPN,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0400-KOR-total_deaths,emdat-impacts,2020-09-06T00:00:00Z,Storm (Tropical cyclone) in Republic of Korea of September 2020 - total_deaths,KOR,nat-met-sto-tro,people,death,2.0,count,,primary,
emdat-impact-2020-0440-TUN-total_deaths,emdat-impacts,2020-09-05T00:00:00Z,Flash flood in Tunisia - total_deaths,TUN,nat-hyd-flo-fla,people,death,6.0,count,,primary,
emdat-impact-2020-0399-GHA-total_deaths,emdat-impacts,2020-09-05T00:00:00Z,Flood (General) in Ghana - total_deaths,GHA,nat-hyd-flo-flo,people,death,4.0,count,,primary,
emdat-impact-2020-0397-SEN-total_deaths,emdat-impacts,2020-09-05T00:00:00Z,Flood (General) in Senegal - total_deaths,SEN,nat-hyd-flo-flo,people,death,11.0,count,,primary,
emdat-impact-2020-0403-KOR-total_deaths,emdat-impacts,2020-09-03T00:00:00Z,Storm (Tropical cyclone) in Republic of Korea of September 2020 - total_deaths,KOR,nat-met-sto-tro,people,death,1.0,count,,primary,
emdat-impact-2020-0461-LKA-total_deaths,emdat-impacts,2020-09-01T00:00:00Z,Flood (General) in Sri Lanka - total_deaths,LKA,nat-hyd-flo-flo,people,death,3.0,count,,primary,
emdat-impact-2020-0447-SYR-total_deaths,emdat-impacts,2020-09-01T00:00:00Z,Wildfire (General) in Syrian Arab Republic - total_deaths,SYR,nat-cli-wil-wil,people,death,3.0,count,,primary,
emdat-impact-2020-0436-MRT-total_deaths,emdat-impacts,2020-09-01T00:00:00Z,Flood (General) in Mauritania - total_deaths,MRT,nat-hyd-flo-flo,people,death,9.0,count,,primary,
emdat-impact-2020-0426-TGO-total_deaths,emdat-impacts,2020-09-01T00:00:00Z,Flood (General) in Togo - total_deaths,TGO,nat-hyd-flo-flo,people,death,11.0,count,,primary,
emdat-impact-2020-0406-ITA-total_deaths,emdat-impacts,2020-08-29T00:00:00Z,Severe weather in Italy - total_deaths,ITA,nat-met-sto-sev,people,death,3.0,count,,primary,
emdat-impact-2020-0376-USA-total_deaths,emdat-impacts,2020-08-27T00:00:00Z,Storm (Tropical cyclone) in United States of America of August 2020 - total_deaths,USA,nat-met-sto-tro,people,death,33.0,count,,primary,
emdat-impact-2020-0376-DOM-total_deaths,emdat-impacts,2020-08-26T00:00:00Z,Storm (Tropical cyclone) in Dominican Republic of August 2020 - total_deaths,DOM,nat-met-sto-tro,people,death,4.0,count,,primary,
emdat-impact-2020-0399-BFA-total_deaths,emdat-impacts,2020-08-25T00:00:00Z,Flood (General) in Burkina Faso - total_deaths,BFA,nat-hyd-flo-flo,people,death,13.0,count,,primary,
emdat-impact-2020-0388-UGA-total_deaths,emdat-impacts,2020-08-25T00:00:00Z,Severe weather in Uganda - total_deaths,UGA,nat-met-sto-sev,people,death,8.0,count,,primary,
